Atm. deposition Inc. Addition	Fertilizer (manure) Inc. Addition	Atm. deposition Total (w/ upstream, decayed)	Fertilizer (manure) Total (w/ upstream, decayed)	Total Inc. (not decayed)	Grand Total (measurable)
100.0	200.0	90.0	180.0	300.0	270.0
55.0	55.0	49.5	49.5	110.0	99.0
111.0	88.0	99.9	79.2	199.0	179.10000000000002
44.0	99.0	39.6	89.10000000000001	143.0	128.70000000000002
123.0	321.0	110.7	288.90000000000003	444.0	399.6
311.0	33.0	279.90000000000003	29.7	344.0	309.6
34.0	56.0	30.6	50.4	90.0	81.0
122.0	244.0	221.4	403.20000000000005	366.0	624.6
188.0	21.0	225.14400000000003	63.25200000000001	209.0	288.3960000000001
412.0	212.0	394.776	209.80800000000002	624.0	604.5840000000001
154.0	145.0	187.308	257.616	299.0	444.924
35.0	53.0	71.352	151.704	88.0	223.056
78.0	87.0	201.753	92.259	165.0	294.012
167.0	199.0	242.66700000000003	188.90099999999998	366.0	431.568
232.0	343.0	208.8	308.7	575.0	517.5
99.0	36.0	203.92344000000003	64.65852000000001	135.0	268.58196000000004
71.0	23.0	63.9	20.7	94.0	84.6
88.0	133.0	489.51144	487.00584000000003	221.0	976.51728
212.0	175.0	259.18524	218.71764000000002	387.0	477.90288000000004
174.0	143.0	175.25052	145.39572	317.0	320.64624000000003
54.0	67.0	267.08400000000006	255.47040000000004	121.0	522.5544000000001
344.0	401.0	528.2136	552.3408000000001	745.0	1080.5544
201.0	303.0	347.94000000000005	519.66	504.0	867.6
177.0	8.0	159.3	7.2	185.0	166.5
166.0	157.0	489.65875200000005	515.586816	323.0	1005.245568
177.0	188.0	602.0291520000001	575.364672	365.0	1177.3938240000002
192.0	103.0	526.6676160000001	413.392896	295.0	940.060512
49.0	64.0	44.1	57.6	113.0	101.7
81.0	9.0	495.4708800000001	449.97264000000007	90.0	945.4435200000001
137.0	138.0	123.3	124.2	275.0	247.5
234.0	109.0	210.6	98.10000000000001	343.0	308.7
97.0	135.0	365.65200000000004	537.2280000000001	232.0	902.8800000000001
89.0	48.0	599.2670016000001	461.42945280000004	137.0	1060.6964544000002
155.0	180.0	658.6670016	580.2294528	335.0	1238.8964544
170.0	131.0	1263.3056064	1083.8801664000002	301.0	2347.1857728000004
77.0	66.0	87.822	83.592	143.0	171.414
95.0	93.0	102.258	105.58800000000001	188.0	207.846
253.0	288.0	326.34000000000003	358.56	541.0	684.9000000000001
