local_id	std_id	new_or_modified	MRB_ID	hydseq	sqkm	demtarea	meanq	delivery_target	pname	headflag	termflag	rchtype	meanv	rchtot	length_m	EDANAME	RR	HUC6	station_id	station_name	basin_delineation	edacode	ex_calib	staid	HUC8	del_frac	mean_del_frac	se_del_frac	ci_lo_del_frac	ci_hi_del_frac
81014	81014	F	81014		10.08		5.04	1	CHOWAN R		3	0	-10000	0	3612.29593		03010203000	30102				S010x			03010203	1	1	0	1	1
81015	81015	F	81015		177.74		88.87	1	CURRITUNK SOUND		3	0	-10000	0	49473.61962		03010205000	30102				S010x			03010205	1	1	0	1	1
81016	81016	F	81016		19.92		9.96	1	NORTH R		3	0	-10000	0	4001.38169		03010205000	30102				S010x			03010205	1	1	0	1	1
81017	81017	F	81017		126.48		63.24	1	ALBEMARLE SOUND		3	0	-10000	0	26563.41673		03010205000	30102				S010x			03010205	1	1	0	1	1
81018	81018	F	81018		165.7		82.85	1	LITTLE R		3	0	-10000	0	44866.58835		03010205000	30102				S010x			03010205	1	1	0	1	1
81019	81019	F	81019		76.11		38.055	1	PERQUIMANS R		3	0	-10000	0	24568.47261		03010205000	30102				S010x			03010205	1	1	0	1	1
81020	81020	F	81020		656.75		328.375	1	ALBEMARLE SOUND		3	0	-10000	0	75130.24518		03010205000	30102				S010x			03010205	1	1	0	1	1
81021	81021	F	81021		56.67		28.335	1	ALBEMARLE SOUND		3	0	-10000	0	8627.36056		03010205000	30102				S010x			03010205	1	1	0	1	1
81022	81022	F	81022		304.01		152.005	1	ALBEMARLE SOUND		3	0	-10000	0	50691.90319		03010205000	30102				S010x			03010205	1	1	0	1	1
81023	81023	F	81023		111.92		55.96	1	SCUPPERNONG R		3	0	-10000	0	12983.14703		03010205000	30102				S010x			03010205	1	1	0	1	1
81024	81024	F	81024		275.75		137.875	1	ALBEMARLE SOUND		3	0	-10000	0	34674.78298		03010205000	30102				S010x			03010205	1	1	0	1	1
81025	81025	F	81025		41.79		20.895	1	ALLIGATOR R		3	0	-10000	0	19336.84406		03010205000	30102				S010x			03010205	1	1	0	1	1
81026	81026	F	81026		55.08		27.54	1	PAMLICO R		3	0	-10000	0	20883.17895		03020104000	30201				S020a			03020104	1	1	0	1	1
