atdep_mean_res	manfert_n	avgkgn_929702ss	nlcd_devlp
3939.189237	7207.7057	0.0	0.0
3344.271039	6975.93024	0.0	0.0
1661.30039	2304.53251	0.0	0.0
9673.387864	39137.05307	0.0	0.0
5779.138836	14837.51829	0.0	0.0
27920.074272	104291.95707	0.0	0.0
4585.060124	15823.50843	0.0	0.0
2735.330265	16726.27718	0.0	0.0
7947.142176	69686.96979	0.0	0.0
10240.251125	34529.6547	0.0	0.0
7444.35167	37811.62188	0.0	0.0
2151.78045	15433.06789	0.0	0.0
11430.56096	87265.68289	0.0	0.0
910.470196	8270.25063	0.0	0.0
6517.61992	15574.62203	0.0	0.0
4730.20068	12195.65582	0.0	0.1494
3222.190732	46337.64773	0.0	0.4104
21111.594035	76664.12224	0.0	0.6813
4687.76088	70114.52107	0.0	0.4365
10411.567817	23576.31979	0.0	0.0405
10327.159395	28535.93686	0.0	1.0512
2543.280456	3737.40707	0.0	0.2637
5451.85971	6952.81936	0.0	0.036
16455.590778	19358.6953	0.0	0.0
711.01008	6392.60274	0.0	0.1782
11988.586785	44780.44108	0.0	0.387
6099.41145	26114.84996	0.0	0.0
11575.601424	38785.72325	0.0	0.0
6207.26007	9608.90391	0.0	0.0
45.63	678.65988	0.0	0.0
