id	fnode	tnode	iftran	hydseq
1922436	9	8	1	1
1922437	11	10	1	2
1922438	12	10	1	3
1922439	10	8	1	4
1922440	8	7	1	5
1922441	14	13	1	6
1922442	15	13	1	7
1922443	13	7	1	8
1922444	7	6	1	9
1922445	19	18	1	10
1922446	20	18	1	11
1922447	18	17	1	12
1922448	21	17	1	13
1922449	17	16	1	14
1922450	25	24	1	15
1922451	26	24	1	16
1922452	24	23	1	17
1922453	27	23	1	18
1922454	23	22	1	19
1922455	32	31	1	20
1922456	33	31	1	21
1922457	31	30	1	22
1922458	35	34	1	23
1922459	36	34	1	24
1922460	34	30	1	25
1922461	30	29	1	26
1922462	38	37	1	27
1922463	40	39	1	28
1922464	41	39	1	29
1922465	39	37	1	30
