fnode	tnode	iftran	hydseq
9789	10419	1	0
7030	7207	0	0
7207	7030	0	0
6125	6382	1	10274
6003	6181	1	10275
5968	6198	1	10276
6191	6198	1	10277
6198	6181	1	10278
6181	6486	1	10279
6407	6655	1	10280
6251	6567	1	10281
6567	6575	1	10282
6575	6726	1	10283
6448	7008	1	10284
6877	7069	1	10285
6716	6825	1	10286
6825	6810	1	10287
6810	7069	1	10288
7069	7292	1	10289
6547	6917	1	10290
6685	6917	1	10291
6917	7597	1	10292
7208	7322	1	10293
7355	7322	1	10294
7322	7642	1	10295
7528	7725	1	10296
7595	8041	1	10297
7910	8186	1	10298
7786	8186	1	10299
8186	8434	1	10300
8434	8438	1	10301
5785	5829	1	10302
5829	5782	1	10303
8323	8691	1	10304
9071	9150	1	10305
9088	9523	1	10306
9470	9936	1	10307
9482	10021	1	10308
9897	10142	1	10309
9858	10414	1	10310
10415	11180	1	10311
10358	10713	1	10312
9951	10420	1	10313
9159	9289	1	10314
8863	9276	1	10315
8024	8205	1	10316
7478	8205	1	10317
8205	8526	1	10318
7439	8526	1	10319
8526	8779	1	10320
8222	8771	1	10321
8009	8771	1	10322
8771	8779	1	10323
8779	9253	1	10324
8446	9114	1	10325
8633	9114	1	10326
9114	9253	1	10327
9253	10042	1	10328
9729	10208	1	10329
10377	10301	1	10330
11148	10421	1	10331
10001	10016	1	10332
9438	10201	1	10333
12155	11682	1	10334
12385	11682	1	10335
11682	11466	1	10336
12606	11466	1	10337
11466	11236	1	10338
11236	10938	1	10339
12215	10921	1	10340
11999	10909	1	10341
11757	10880	1	10342
11600	11516	1	10343
12092	11516	1	10344
11516	10654	1	10345
11409	10699	1	10346
11176	10699	1	10347
10699	10541	1	10348
10702	10419	1	10349
10849	10467	1	10350
11453	11115	1	10351
11648	11115	1	10352
11115	11069	1	10353
11365	10712	1	10354
11621	11849	1	10355
12335	11907	1	10356
12304	11907	1	10357
11907	11849	1	10358
11849	10934	1	10359
12266	11678	1	10360
12205	11678	1	10361
11678	11607	1	10362
12228	11829	1	10363
12082	11829	1	10364
11829	11607	1	10365
11607	11535	1	10366
11981	11535	1	10367
11535	11391	1	10368
11391	10934	1	10369
10934	10772	1	10370
11486	11196	1	10371
12173	11196	1	10372
11196	10987	1	10373
11871	11100	1	10374
11423	11100	1	10375
11100	10484	1	10376
11582	11065	1	10377
11759	11608	1	10378
12306	11608	1	10379
11608	11065	1	10380
11065	10294	1	10381
10542	10038	1	10382
10561	10038	1	10383
10038	9707	1	10384
10088	9641	1	10385
10191	9615	1	10386
11711	11346	1	10387
11346	10644	1	10388
10644	10249	1	10389
10734	11038	1	10390
11857	11188	1	10391
11619	11188	1	10392
11188	11038	1	10393
11038	11045	1	10394
11574	11045	1	10395
11045	10249	1	10396
10249	10056	1	10397
10978	10116	1	10398
11194	10755	1	10399
11145	10755	1	10400
10755	10674	1	10401
10649	10674	1	10402
10674	10039	1	10403
9836	9279	1	10404
9880	9247	1	10405
9309	8955	1	10406
8766	8365	1	10407
7481	7585	1	10408
7154	7234	1	10409
7741	7884	1	10410
8733	9406	1	10411
9535	9406	1	10412
9406	9076	1	10413
10272	9497	1	10414
11127	10363	1	10415
10634	10147	1	10416
10003	10147	1	10417
10147	10363	1	10418
10363	9932	1	10419
9932	9775	1	10420
9775	9497	1	10421
9497	9076	1	10422
9076	9053	1	10423
9053	8873	1	10424
