id	fnode	tnode	iftran	hydseq
1	1	10	1	1
2	2	10	1	2
3	3	11	1	3
4	3	23	1	4
5	3	14	1	5
6	6	16	1	6
7	7	27	1	7
10	10	31	1	8
11	11	21	1	9
12	11	23	1	10
14	14	23	1	11
15	14	26	1	12
16	16	26	1	13
17	16	27	1	14
19	19	28	1	15
21	21	31	1	16
22	22	32	1	17
23	23	32	1	18
24	23	42	1	19
25	23	34	1	20
26	26	34	1	21
27	27	36	1	22
28	28	39	1	23
30	30	40	1	24
31	31	40	1	25
32	32	42	1	26
34	34	42	1	27
35	35	43	1	28
36	36	54	1	29
37	37	46	1	30
38	37	48	1	31
39	39	48	1	32
40	40	50	1	33
41	40	51	1	34
42	42	52	1	35
43	43	52	1	36
44	43	54	1	37
46	46	54	1	38
